-157.798412,21.400435,"WiFi: Starbucks; ID# 2F27F"
-157.79837,21.40314,"WiFi: McDonalds; ID# 32E70"
-157.787564,21.278571,"WiFi: Starbucks; ID# 2F280"
-157.78522,21.27506,"WiFi: McDonalds; ID# 32E5D"
-157.76527,21.45515,"WiFi: McDonalds; ID# 32E6B"
-157.75523,21.27898,"WiFi: McDonalds; ID# 32E61"
-157.7456,21.4045,"WiFi: Starbucks; ID# 2F281"
-157.74252,21.39536,"WiFi: McDonalds; ID# 32E6C"
-157.740714,21.393191,"WiFi: Starbucks; ID# 2F282"
-157.729241,21.378044,"WiFi: Starbucks; ID# 2F283"
-157.7287,21.37769,"WiFi: McDonalds; ID# 32E6D"
-157.711277,21.282724,"WiFi: Starbucks; ID# 2F284"
-157.70747,21.28579,"WiFi: McDonalds; ID# 32E5A"
-157.70462,21.277398,"WiFi: Starbucks; ID# 2F285"
-157.70421,21.34052,"WiFi: McDonalds; ID# 32E82"
-156.69382,20.92135,"WiFi: McDonalds; ID# 32E74"
-156.683003,20.885655,"WiFi: Starbucks; ID# 2F286"
-156.680765,20.876391,"WiFi: Starbucks; ID# 2F287"
-156.67918,20.87783,"WiFi: McDonalds; ID# 32E75"
-156.67715,20.97206,"WiFi: McDonalds; ID# 32E76"
-156.50369,20.88741,"WiFi: McDonalds; ID# 32E80"
-156.48732,20.90574,"WiFi: McDonalds; ID# 32E81"
-156.477614,20.891963,"WiFi: Starbucks; ID# 2F288"
-156.47615,20.8886,"WiFi: McDonalds; ID# 32E68"
-156.46524,20.88697,"WiFi: McDonalds; ID# 32E69"
-156.4561,20.75072,"WiFi: McDonalds; ID# 32E73"
-156.454708,20.881571,"WiFi: Starbucks; ID# 2F289"
-156.45384,20.88326,"WiFi: McDonalds; ID# 32E6A"
-156.452823,20.735205,"WiFi: Starbucks; ID# 2F28A"
-156.451747,20.887856,"WiFi: Starbucks; ID# 2F28B"
-156.451338,20.75066,"WiFi: Starbucks; ID# 2F28C"
-156.448144,20.752511,"WiFi: Starbucks; ID# 2F28D"
-156.438779,20.892805,"WiFi: Starbucks; ID# 2F28E"
-156.342146,20.837699,"WiFi: Starbucks; ID# 2F28F"
-156.337264,20.836076,"WiFi: McDonalds; ID# 32E7C"
-152.406682,57.790858,"WiFi: McDonalds; ID# 31FB2"
-151.534,59.6432,"WiFi: Starbucks; ID# 2F290"
-151.523064,59.642696,"WiFi: McDonalds; ID# 31FAE"
-151.235906,60.559838,"WiFi: McDonalds; ID# 31FB0"
-151.071002,60.48309,"WiFi: McDonalds; ID# 31FB6"
-151.066613,60.483737,"WiFi: Starbucks; ID# 2F291"
-151.049,60.4895,"WiFi: Starbucks; ID# 2F292"
-149.979956,61.173019,"WiFi: McDonalds; ID# 31FA4"
-149.97307,61.176563,"WiFi: Starbucks; ID# 2F293"
-149.9583,61.1554,"WiFi: Starbucks; ID# 2F294"
-149.95582,61.136451,"WiFi: Starbucks; ID# 2F295"
-149.950832,61.137056,"WiFi: McDonalds; ID# 31FA6"
-149.936781,61.181524,"WiFi: McDonalds; ID# 31FA7"
-149.9195,61.136322,"WiFi: Starbucks; ID# 2F296"
-149.915447,61.195285,"WiFi: Starbucks; ID# 2F297"
-149.898633,61.194753,"WiFi: McDonalds; ID# 31F9C"
-149.894236,61.217853,"WiFi: Starbucks; ID# 2F298"
-149.883887,61.180299,"WiFi: Starbucks; ID# 2F299"
-149.882215,61.12848,"WiFi: Starbucks; ID# 2F29A"
-149.870565,61.188348,"WiFi: McDonalds; ID# 31F9D"
-149.865019,61.194346,"WiFi: Starbucks; ID# 2F29B"
-149.86379,61.14478,"WiFi: Starbucks; ID# 2F29C"
-149.863246,61.139884,"WiFi: McDonalds; ID# 31F9E"
-149.858384,61.21755,"WiFi: McDonalds; ID# 31FA5"
-149.85796,61.108444,"WiFi: McDonalds; ID# 31F9F"
-149.844686,61.142176,"WiFi: Starbucks; ID# 2F29D"
-149.83964,61.137442,"WiFi: Starbucks; ID# 2F29E"
-149.83548,61.181359,"WiFi: Starbucks; ID# 2F29F"
-149.835088,61.138203,"WiFi: McDonalds; ID# 31FA8"
-149.832372,61.181187,"WiFi: McDonalds; ID# 31FA0"
-149.823633,61.219353,"WiFi: McDonalds; ID# 31FA1"
-149.822907,61.215507,"WiFi: Starbucks; ID# 2F2A0"
-149.821917,61.189723,"WiFi: Starbucks; ID# 2F2A1"
-149.77647,61.208659,"WiFi: Starbucks; ID# 2F2A2"
-149.775086,61.209365,"WiFi: McDonalds; ID# 31FA2"
-149.7534,61.2272,"WiFi: Starbucks; ID# 2F2A3"
-149.741452,61.23118,"WiFi: Starbucks; ID# 2F2A4"
-149.735762,61.196257,"WiFi: Starbucks; ID# 2F2A5"
-149.732719,61.192846,"WiFi: McDonalds; ID# 31FA9"
-149.732706,61.221371,"WiFi: McDonalds; ID# 31FA3"
-149.6772,61.2621,"WiFi: Starbucks; ID# 2F2A6"
-149.573017,61.32447,"WiFi: Starbucks; ID# 2F2A7"
-149.571214,61.327006,"WiFi: McDonalds; ID# 31FAA"
-149.57037,61.32549,"WiFi: Starbucks; ID# 2F2A8"
-149.557464,61.342603,"WiFi: Starbucks; ID# 2F2A9"
-149.497284,61.579432,"WiFi: Starbucks; ID# 2F2AA"
-149.436,60.1263,"WiFi: Starbucks; ID# 2F2AB"
-149.430898,61.581432,"WiFi: McDonalds; ID# 31FB7"
-149.414183,61.578129,"WiFi: Starbucks; ID# 2F2AC"
-149.123657,61.599019,"WiFi: McDonalds; ID# 31FB4"
-149.118333,61.600404,"WiFi: Starbucks; ID# 2F2AD"
-147.820117,64.848734,"WiFi: McDonalds; ID# 31FAD"
-147.817063,64.836724,"WiFi: Starbucks; ID# 2F2AE"
-147.810808,64.836718,"WiFi: Starbucks; ID# 2F2AF"
-147.759108,64.837296,"WiFi: McDonalds; ID# 31FAB"
-147.70561,64.851206,"WiFi: Starbucks; ID# 2F2B0"
-147.696614,64.859384,"WiFi: McDonalds; ID# 31FAC"
-147.690964,64.851938,"WiFi: Starbucks; ID# 2F2B1"
-147.679722,64.827778,"WiFi: Starbucks; ID# 2F2B2"
-147.351417,64.758068,"WiFi: McDonalds; ID# 31FB3"
-135.347957,57.059566,"WiFi: McDonalds; ID# 31FB5"
-135.065258,60.727475,"WiFi: McDonalds; ID# 356E1"
-135.05819,60.72731,"WiFi: Tim Hortons; ID# 2F247"
-135.051823,60.718972,"WiFi: Tim Hortons; ID# 2F248"
-134.577404,58.364487,"WiFi: McDonalds; ID# 31FAF"
-134.5532,58.3595,"WiFi: Starbucks; ID# 2F2B3"
-134.548276,58.359115,"WiFi: Starbucks; ID# 2F2B4"
-131.674032,55.349458,"WiFi: McDonalds; ID# 31FB1"
-131.673818,55.349452,"WiFi: Starbucks; ID# 2F2B5"
-130.328023,54.311939,"WiFi: Tim Hortons; ID# 2EB44"
-130.323299,54.314894,"WiFi: Starbucks; ID# 2F2B6"
-128.652589,54.053214,"WiFi: Tim Hortons; ID# 2EB0A"
-128.591391,54.516797,"WiFi: Starbucks; ID# 2F2B7"
-128.58928,54.51668,"WiFi: Tim Hortons; ID# 2EB6B"
-128.586903,54.513152,"WiFi: Tim Hortons; ID# 2EB6A"
-127.164138,54.780018,"WiFi: Starbucks; ID# 2F2B8"
-127.14722,54.77295,"WiFi: Tim Hortons; ID# 2EB52"
-125.273536,50.030724,"WiFi: McDonalds; ID# 353E3"
-125.249423,50.028998,"WiFi: Starbucks; ID# 2F2B9"
-125.246854,50.031918,"WiFi: Tim Hortons; ID# 2EAD8"
-125.246352,50.029563,"WiFi: McDonalds; ID# 353E2"
-125.245874,50.00028,"WiFi: Tim Hortons; ID# 2EAD7"
-125.223675,49.982576,"WiFi: Starbucks; ID# 2F2BA"
-124.991921,49.685094,"WiFi: Starbucks; ID# 2F2BB"
-124.990694,49.684355,"WiFi: Starbucks; ID# 2F2BC"
-124.98886,49.69806,"WiFi: Tim Hortons; ID# 2EAE7"
-124.983338,49.677067,"WiFi: Tim Hortons; ID# 2EAE8"
-124.93485,49.6883,"WiFi: Tim Hortons; ID# 2EAE3"
-124.806338,49.260162,"WiFi: Tim Hortons; ID# 2EB39"
-124.785118,49.266226,"WiFi: Starbucks; ID# 2F2BD"
-124.520697,49.842574,"WiFi: Tim Hortons; ID# 2EB3C"
-124.518856,49.841768,"WiFi: Starbucks; ID# 2F2BE"
-124.517781,49.841796,"WiFi: Starbucks; ID# 2F2BF"
-124.300932,49.318844,"WiFi: Starbucks; ID# 2F2C0"
-124.297044,49.31795,"WiFi: Tim Hortons; ID# 2EB34"
-124.28799,42.055267,"WiFi: Starbucks; ID# 2F2C1"
-124.286207,42.05321,"WiFi: McDonalds; ID# 346FC"
-124.239084,43.392329,"WiFi: McDonalds; ID# 3473A"
-124.235477,43.406581,"WiFi: Starbucks; ID# 2F2C2"
-124.213079,43.356967,"WiFi: McDonalds; ID# 34703"
-124.209983,43.35795,"WiFi: Starbucks; ID# 2F2C3"
-124.198193,41.761639,"WiFi: Starbucks; ID# 2F2C4"
-124.194042,41.754992,"WiFi: McDonalds; ID# 322DF"
-124.18995,40.777268,"WiFi: McDonalds; ID# 32326"
-124.167448,40.801463,"WiFi: Starbucks; ID# 2F2C5"
-124.16173,47.00787,"WiFi: McDonalds; ID# 3516A"
-124.153259,40.804592,"WiFi: McDonalds; ID# 32325"
-124.147545,40.799229,"WiFi: Starbucks; ID# 2F2C6"
-124.146679,40.578666,"WiFi: Starbucks; ID# 2F2C7"
-124.146489,40.583455,"WiFi: McDonalds; ID# 32340"
-124.144039,40.805575,"WiFi: Starbucks; ID# 2F2C8"
-124.110705,43.6997,"WiFi: McDonalds; ID# 34761"
-124.10443,43.972821,"WiFi: Starbucks; ID# 2F2C9"
-124.102405,40.932791,"WiFi: McDonalds; ID# 32466"
-124.101454,40.940248,"WiFi: Starbucks; ID# 2F2CA"
-124.101118,43.984694,"WiFi: McDonalds; ID# 3470F"
-124.083452,40.902927,"WiFi: McDonalds; ID# 3223C"
-124.05442,46.34198,"WiFi: McDonalds; ID# 3514D"
-124.05335,44.635518,"WiFi: Starbucks; ID# 2F2CB"
-124.0529,44.64635,"WiFi: McDonalds; ID# 34739"
-124.052817,48.827119,"WiFi: Tim Hortons; ID# 2EB0D"
-124.051649,44.651984,"WiFi: Starbucks; ID# 2F2CC"
-124.04998,49.23894,"WiFi: Tim Hortons; ID# 2EB26"
-124.045904,49.236215,"WiFi: Starbucks; ID# 2F2CD"
-124.04365,49.229852,"WiFi: Starbucks; ID# 2F2CE"
-124.03879,49.234901,"WiFi: Starbucks; ID# 2F2CF"
-124.029511,49.22076,"WiFi: Tim Hortons; ID# 2EB23"
